id,date_dd_mm_yyyy,time_hh_mm_ss,latitude_decimal_degrees,longitude_decimal_degrees
TrinPetrel_X102,07/06/2011,02:26:40,8.197705829,67.02527045
TrinPetrel_X102,07/06/2011,14:06:40,8.334296319,67.20375417
TrinPetrel_X102,08/06/2011,03:36:40,7.848752835,67.65386241
TrinPetrel_X102,08/06/2011,13:51:40,7.695731342,68.18035468
TrinPetrel_X102,09/06/2011,00:51:39,7.520536802,68.23028668
TrinPetrel_X102,09/06/2011,14:01:39,7.595790687,68.26803319
TrinPetrel_X102,10/06/2011,02:31:39,7.376291094,68.97346165
TrinPetrel_X102,10/06/2011,13:26:39,6.93679508,68.80871924
TrinPetrel_X102,11/06/2011,01:11:39,6.742966692,68.01292793
TrinPetrel_X102,11/06/2011,13:51:38,6.202437154,68.10952377
TrinPetrel_X102,12/06/2011,01:16:38,5.747531484,67.91926247
TrinPetrel_X102,12/06/2011,14:01:38,5.429767437,67.20694311
TrinPetrel_X102,13/06/2011,01:16:38,4.864202646,66.88777252
TrinPetrel_X102,13/06/2011,13:51:38,4.367654127,67.04576601
TrinPetrel_X102,14/06/2011,00:56:38,4.089711644,67.06111848
TrinPetrel_X102,14/06/2011,13:46:37,3.622371801,67.12464609
TrinPetrel_X102,15/06/2011,01:11:37,3.39651362,67.21506603
TrinPetrel_X102,15/06/2011,12:51:37,3.71242449,67.45703938
TrinPetrel_X102,16/06/2011,01:01:37,3.366222423,67.87038275
TrinPetrel_X102,16/06/2011,13:51:37,3.045510316,68.06405354
TrinPetrel_X102,17/06/2011,01:06:37,3.006902082,67.8064537
TrinPetrel_X102,17/06/2011,13:56:36,2.730644743,67.55933191
TrinPetrel_X102,18/06/2011,01:06:36,2.963263423,67.89624838
TrinPetrel_X102,18/06/2011,13:21:36,2.448215234,67.99425958
TrinPetrel_X102,19/06/2011,01:11:36,2.258471588,67.70445025
TrinPetrel_X102,19/06/2011,13:36:36,2.01948833,68.08059458
TrinPetrel_X102,20/06/2011,01:01:35,1.457286954,68.50238481
TrinPetrel_X102,20/06/2011,13:41:35,0.803837418,69.08407537
TrinPetrel_X102,21/06/2011,01:06:35,0.3256887,69.51457092
TrinPetrel_X102,21/06/2011,13:31:35,-0.27554106,69.98523156
TrinPetrel_X102,22/06/2011,01:01:35,-0.158551097,70.31367643
TrinPetrel_X102,22/06/2011,13:01:35,-0.385174897,69.80491901
TrinPetrel_X102,23/06/2011,00:56:34,-0.776686692,69.94408847
TrinPetrel_X102,23/06/2011,13:36:34,-0.820724149,70.07949061
TrinPetrel_X102,24/06/2011,01:11:34,-0.722797058,70.23858546
TrinPetrel_X102,24/06/2011,13:31:34,-0.665067657,70.60233359
TrinPetrel_X102,25/06/2011,01:01:34,-0.282736297,71.18549655
TrinPetrel_X102,25/06/2011,13:36:33,-0.146760649,70.97031964
TrinPetrel_X102,26/06/2011,02:01:33,-0.076546942,70.84968249
TrinPetrel_X102,26/06/2011,13:26:33,0.382817698,71.42780975
TrinPetrel_X102,27/06/2011,01:21:33,0.777915909,71.2881182
TrinPetrel_X102,27/06/2011,13:36:33,1.089715697,71.33692588
TrinPetrel_X102,28/06/2011,01:06:33,1.292417769,71.724701
TrinPetrel_X102,28/06/2011,13:21:32,1.576806192,72.05166715
TrinPetrel_X102,29/06/2011,00:51:32,1.73206823,71.72817126
TrinPetrel_X102,29/06/2011,13:26:32,1.95573702,71.33968125
TrinPetrel_X102,30/06/2011,01:11:32,2.453336753,70.91327256
TrinPetrel_X102,30/06/2011,13:51:32,3.219644578,70.50138522
TrinPetrel_X102,01/07/2011,01:01:32,3.423070484,70.08173485
TrinPetrel_X102,01/07/2011,13:51:31,3.694429104,70.06526149
TrinPetrel_X102,02/07/2011,01:06:31,3.897795224,69.99143942
TrinPetrel_X102,02/07/2011,14:01:31,3.829247407,69.07979961
TrinPetrel_X102,03/07/2011,04:11:31,3.648903033,68.36434751
TrinPetrel_X102,03/07/2011,14:01:31,3.762073551,68.02267993
TrinPetrel_X102,04/07/2011,01:16:30,3.445673396,67.91377229
TrinPetrel_X102,04/07/2011,13:51:30,3.03248982,68.18567082
TrinPetrel_X102,05/07/2011,01:16:30,2.898526819,68.66055328
TrinPetrel_X102,05/07/2011,13:51:30,2.654117382,68.74149127
TrinPetrel_X102,06/07/2011,01:01:30,2.404334339,69.14585313
TrinPetrel_X102,06/07/2011,13:41:30,2.331891214,69.61093387
TrinPetrel_X102,07/07/2011,01:01:29,1.997894852,69.60144457
TrinPetrel_X102,07/07/2011,13:56:29,1.938955741,69.76052019
TrinPetrel_X102,08/07/2011,01:01:29,1.611477382,70.20308498
TrinPetrel_X102,08/07/2011,13:41:29,0.767372349,69.92753709
TrinPetrel_X102,09/07/2011,01:11:29,0.36634907,69.31665626
TrinPetrel_X102,09/07/2011,13:41:29,0.109551628,69.15777137
TrinPetrel_X102,10/07/2011,01:11:28,0.001911037,69.03619647
TrinPetrel_X102,10/07/2011,13:41:28,-0.866068343,68.55252941
TrinPetrel_X102,11/07/2011,01:21:28,-1.289952706,68.08257157
TrinPetrel_X102,11/07/2011,13:51:28,-1.300097191,67.78757642
TrinPetrel_X102,12/07/2011,00:51:28,-1.071544055,68.2329325
TrinPetrel_X102,12/07/2011,13:46:27,-1.663198586,68.30737858
TrinPetrel_X102,13/07/2011,01:21:27,-1.797014242,67.91738774
TrinPetrel_X102,13/07/2011,13:41:27,-1.87493132,67.91802742
TrinPetrel_X102,14/07/2011,01:21:27,-1.688284402,67.88279413
TrinPetrel_X102,14/07/2011,13:26:27,-1.558614618,68.22463598
TrinPetrel_X102,15/07/2011,01:26:27,-1.40068454,68.16950712
TrinPetrel_X102,15/07/2011,13:41:26,-1.053629813,68.53577828
TrinPetrel_X102,16/07/2011,01:21:26,-0.837475961,68.49861417
TrinPetrel_X102,16/07/2011,13:46:26,-0.567079522,68.20249947
TrinPetrel_X102,17/07/2011,01:21:26,-0.728798764,67.49445295
TrinPetrel_X102,17/07/2011,13:36:26,-0.05247667,67.45756326
TrinPetrel_X102,18/07/2011,01:31:26,0.873370085,67.12990762
TrinPetrel_X102,18/07/2011,13:51:25,1.335548178,67.15898272
TrinPetrel_X102,19/07/2011,01:21:25,1.748722521,67.0025281
TrinPetrel_X102,19/07/2011,14:06:25,2.303337156,66.48787488
TrinPetrel_X102,20/07/2011,01:21:25,2.602158304,66.18011946
TrinPetrel_X102,20/07/2011,14:11:25,3.236970058,65.51212103
TrinPetrel_X102,21/07/2011,01:21:24,3.646614297,65.6324893
TrinPetrel_X102,21/07/2011,14:06:24,3.721522386,64.72695365
TrinPetrel_X102,22/07/2011,01:31:24,3.948875613,64.15432574
TrinPetrel_X102,22/07/2011,14:11:24,4.272956803,63.32156359
TrinPetrel_X102,23/07/2011,01:41:24,4.194943198,63.4238999
TrinPetrel_X102,23/07/2011,14:21:24,4.529182379,63.10692508
TrinPetrel_X102,24/07/2011,01:36:23,4.601019068,63.75974643
TrinPetrel_X102,24/07/2011,14:06:23,5.111174883,64.11669564
TrinPetrel_X102,25/07/2011,01:26:23,5.27577385,63.95023836
TrinPetrel_X102,25/07/2011,14:06:23,5.552638094,64.07532445
TrinPetrel_X102,26/07/2011,03:26:23,6.141960676,63.74307989
TrinPetrel_X102,26/07/2011,14:31:23,6.134720258,64.06824205
TrinPetrel_X102,27/07/2011,01:21:22,6.406276649,63.9281984
TrinPetrel_X102,27/07/2011,14:11:22,6.734319497,64.37773671
TrinPetrel_X102,28/07/2011,01:01:22,7.175431211,64.7614609
TrinPetrel_X102,28/07/2011,14:21:22,6.961898772,64.54681257
TrinPetrel_X102,29/07/2011,01:31:22,6.648004456,65.24723074
TrinPetrel_X102,29/07/2011,14:01:21,6.658306243,65.73891485
TrinPetrel_X102,30/07/2011,01:01:21,6.693737969,66.13836995
TrinPetrel_X102,30/07/2011,14:06:21,6.24538404,65.98378192
TrinPetrel_X102,31/07/2011,01:26:21,5.697419889,66.15332609
TrinPetrel_X102,31/07/2011,14:01:21,5.744227867,66.52942358
TrinPetrel_X102,01/08/2011,01:06:21,5.576267785,66.72217401
TrinPetrel_X102,01/08/2011,14:06:20,5.569298431,66.72512869
TrinPetrel_X102,02/08/2011,01:31:20,5.515446513,66.59633005
TrinPetrel_X102,02/08/2011,14:06:20,5.155055585,66.31212805
TrinPetrel_X102,03/08/2011,01:36:20,4.750908442,65.90165469
TrinPetrel_X102,03/08/2011,14:06:20,4.376888171,65.78239727
TrinPetrel_X102,04/08/2011,01:21:20,3.935665549,65.56140944
TrinPetrel_X102,04/08/2011,14:01:19,3.272720141,65.22918544
TrinPetrel_X102,05/08/2011,01:26:19,2.96503901,64.99292207
TrinPetrel_X102,05/08/2011,14:01:19,2.538583522,65.60820467
TrinPetrel_X102,06/08/2011,01:26:19,2.128024919,65.15820967
TrinPetrel_X102,06/08/2011,14:01:19,1.653119751,65.06951796
TrinPetrel_X102,07/08/2011,01:36:18,1.328435742,65.12226101
TrinPetrel_X102,07/08/2011,14:06:18,0.785794885,64.84799058
TrinPetrel_X102,08/08/2011,01:41:18,0.286147439,64.82311547
TrinPetrel_X102,08/08/2011,14:01:18,-0.086287812,64.94698239
TrinPetrel_X102,09/08/2011,01:31:18,-0.337277004,65.30650785
TrinPetrel_X102,09/08/2011,14:01:18,-0.8605194,65.58954936
TrinPetrel_X102,10/08/2011,01:31:17,-1.218013412,65.74751652
TrinPetrel_X102,10/08/2011,13:51:17,-0.989949805,66.12196718
TrinPetrel_X102,11/08/2011,01:51:17,-1.237074647,65.68035404
TrinPetrel_X102,11/08/2011,14:11:17,-1.670725188,65.02008895
TrinPetrel_X102,12/08/2011,01:21:17,-1.498900744,64.39771566
TrinPetrel_X102,12/08/2011,14:21:16,-1.668551566,63.8012138
TrinPetrel_X102,13/08/2011,01:41:16,-1.786768424,63.82433701
TrinPetrel_X102,13/08/2011,14:01:16,-1.621278042,64.59914053
TrinPetrel_X102,14/08/2011,01:31:16,-1.954003515,65.01511255
TrinPetrel_X102,14/08/2011,13:46:16,-1.792505152,65.89195997
TrinPetrel_X102,15/08/2011,01:21:16,-1.350777757,65.82931759
TrinPetrel_X102,15/08/2011,14:01:15,-1.468668357,65.11619065
TrinPetrel_X102,16/08/2011,01:16:15,-1.284485115,64.51311831
TrinPetrel_X102,16/08/2011,13:56:15,-1.296679544,63.74278912
TrinPetrel_X102,17/08/2011,01:46:15,-1.226745723,62.52411518
TrinPetrel_X102,17/08/2011,14:01:15,-0.916648522,60.98898286
TrinPetrel_X102,18/08/2011,01:11:15,-0.985344683,60.18557846
TrinPetrel_X102,18/08/2011,14:01:14,-0.680394057,58.50720875
TrinPetrel_X102,19/08/2011,01:46:14,-0.46362976,57.27287274
TrinPetrel_X102,19/08/2011,14:11:14,-0.472355646,55.48944875
TrinPetrel_X102,20/08/2011,01:31:14,-2.186726402,56.06357803
TrinPetrel_X102,20/08/2011,14:16:14,-4.50711947,56.40376012
TrinPetrel_X102,21/08/2011,01:41:14,-4.303760505,58.21097394
TrinPetrel_X102,21/08/2011,14:11:13,-4.436139399,60.04420898
TrinPetrel_X102,22/08/2011,01:31:13,-4.449763352,61.44621141
TrinPetrel_X102,22/08/2011,14:01:13,-4.879909188,62.51453147
TrinPetrel_X102,23/08/2011,01:21:13,-4.601741632,63.4746528
TrinPetrel_X102,23/08/2011,13:56:13,-4.98592448,64.34810256
TrinPetrel_X102,24/08/2011,01:26:12,-5.0574838,65.69036865
TrinPetrel_X102,24/08/2011,13:41:12,-5.081047749,66.42942607
TrinPetrel_X102,25/08/2011,01:21:12,-5.623164266,66.8082778
TrinPetrel_X102,25/08/2011,13:41:12,-6.241971945,67.43128859
TrinPetrel_X102,26/08/2011,01:26:12,-6.241599951,68.03085151
TrinPetrel_X102,26/08/2011,13:41:12,-6.41258598,68.69398342
TrinPetrel_X102,27/08/2011,01:11:11,-6.783639926,69.12190715
TrinPetrel_X102,27/08/2011,13:21:11,-7.012536419,69.73125377
TrinPetrel_X102,28/08/2011,01:11:11,-6.856038159,70.12419576
TrinPetrel_X102,28/08/2011,13:21:11,-7.142292786,70.97938438
TrinPetrel_X102,29/08/2011,01:11:11,-7.083295395,71.05076418
TrinPetrel_X102,29/08/2011,13:11:10,-7.261491026,71.59072033
TrinPetrel_X102,30/08/2011,01:11:10,-7.414514339,71.12968393
TrinPetrel_X102,30/08/2011,13:11:10,-6.879433213,71.36781706
TrinPetrel_X102,31/08/2011,01:31:10,-6.47372123,71.05610883
TrinPetrel_X102,31/08/2011,12:46:10,-6.359077723,71.42894037
TrinPetrel_X102,01/09/2011,01:26:10,-6.383196679,71.14421244
TrinPetrel_X102,01/09/2011,13:11:09,-6.717984828,71.35214599
TrinPetrel_X102,02/09/2011,01:21:09,-6.439507927,70.93232934
TrinPetrel_X102,02/09/2011,12:51:09,-6.407586468,71.14904462
TrinPetrel_X102,03/09/2011,01:01:09,-6.401612014,70.51269555
TrinPetrel_X102,03/09/2011,13:26:09,-6.807238246,68.6223008
TrinPetrel_X102,04/09/2011,01:21:09,-6.485903462,68.55415492
TrinPetrel_X102,04/09/2011,13:11:08,-5.959288854,68.90708023
TrinPetrel_X102,05/09/2011,01:11:08,-5.49893561,68.56987986
TrinPetrel_X102,05/09/2011,13:01:08,-8.97388901,68.22214556
TrinPetrel_X102,06/09/2011,01:21:08,-9.72343559,67.18829981
TrinPetrel_X102,06/09/2011,13:31:08,-10.65766726,66.03724228
TrinPetrel_X102,07/09/2011,02:01:07,-11.3421809,64.45501635
TrinPetrel_X102,07/09/2011,12:46:07,-13.13491793,63.73459919
TrinPetrel_X102,08/09/2011,01:31:07,-14.40633591,62.83569351
TrinPetrel_X102,08/09/2011,13:51:07,-15.49826199,61.26297491
TrinPetrel_X102,09/09/2011,02:11:07,-17.46379113,59.9143988
TrinPetrel_X102,09/09/2011,14:01:07,-20.4327972,60.37978404
TrinPetrel_X102,10/09/2011,02:21:06,-20.42540622,59.09900389
TrinPetrel_X102,10/09/2011,14:16:06,-20.43310996,58.51726689
TrinPetrel_X102,11/09/2011,02:21:06,-20.54039389,57.80786973
TrinPetrel_X102,11/09/2011,14:01:06,-20.97007716,57.88183067
TrinPetrel_X102,12/09/2011,02:21:06,-20.78398091,57.46650253
TrinPetrel_X102,12/09/2011,14:21:06,-20.6783076,57.02919792
TrinPetrel_X102,13/09/2011,02:21:05,-20.48899202,56.7904891
TrinPetrel_X102,13/09/2011,14:11:05,-20.0213942,57.27466263
TrinPetrel_X102,14/09/2011,02:11:05,-19.8674275,57.62814457
TrinPetrel_X102,14/09/2011,14:11:05,-19.47179749,57.83607215
TrinPetrel_X102,14/09/2011,15:11:05,-19.85,57.78
